# K-Export Stars Foreign Flow aggregates · as of 2026-08-25 · CC BY 4.0 · kexportstars.com/foreign-flow-watch/
ticker,name_en,market,last_close,f_1d_sh,f_5d_sh,f_5d_val,f_20d_sh,f_20d_val,i_1d_sh,i_5d_sh,i_20d_sh
066570,LGELECTRONICS,KOSPI,,,241209,47529305500,954292,183645112000,,-302438,385320
042660,Hanwha Ocean,KOSPI,86600,145165,547993,46822026500,2970069,255243926800,69669,-683200,-1235714
329180,HD HYUNDAI HEAVY INDUSTRIES,KOSPI,,,90834,41641051500,150153,64690185500,,-153733,-204699
214450,PharmaResearch,KOSDAQ,,,101342,41151388500,174827,73025913500,,-25201,275480
353200,DaeduckElectronics,KOSPI,,,346245,37593684200,-630,-25799268800,,-478562,33708
071050,KOREA INVESTMENT HOLDINGS,KOSPI,,,195090,35839443200,692270,136225416100,,-73024,-616823
039490,KIWOOM Securities,KOSPI,,,132405,35326692500,411752,113940614000,,-66378,-318784
006800,MIRAE ASSET SECURITIES,KOSPI,35800,327184,973487,34423899400,4375231,143933348900,-162921,-645755,-2341626
042700,"HANMISemiconductorCO.,Ltd.",KOSPI,,,147946,32800184000,801291,162514858000,,-273991,86750
000270,KIA CORPORATION,KOSPI,134900,80583,240478,31708812800,1726188,229568317900,38781,-255252,-847842
000990,"DB HiTek Co.,LTD",KOSPI,,,341471,30997951200,208693,15512744800,,-458041,-639719
079550,LIG Defense&Aerospace,KOSPI,,,39060,30805424000,162731,131082451000,,-100992,-85906
003230,SamyangFoods,KOSPI,,,20072,27877307000,137300,172619654000,,28813,-44985
018260,"SAMSUNG SDS CO., LTD.",KOSPI,,,117628,26938971000,92514,23570802300,,-78835,407504
373220,LG Energy Solution,KOSPI,,,75964,26682892000,-4241,-2964261000,,-38028,338257
131290,"TSE CO.,Ltd",KOSDAQ,,,105120,25611580000,14517,-3368535800,,-96629,28887
012330,HyundaiMobis,KOSPI,,,50460,25266885000,466343,228449159000,,-54367,-163591
207940,SAMSUNG BIOLOGICS,KOSPI,,,15767,24645574000,95334,147203570000,,-3444,21903
196170,Alteogen Inc.,KOSDAQ,,,71857,23965751000,-2865,8713161704,,154450,-107843
064350,HYUNDAI ROTEM,KOSPI,133600,55211,176805,23678855000,1176060,157193248200,-72583,-266797,-815570
319660,PSK INC.,KOSDAQ,,,159225,20096050500,319466,29625262000,,-160513,-437310
298040,HYOSUNG HEAVY INDUSTRIES,KOSPI,,,7047,19828231000,46232,97458097000,,-26680,-49509
267260,HD HYUNDAI ELECTRIC,KOSPI,,,26651,19448340000,131894,91508883000,,-52552,-207761
006360,GS Engineering & Construction Corp,KOSPI,,,575063,19421390400,42600,16261637550,,163272,4095788
096770,SK Innovation,KOSPI,,,153504,19286719700,741085,95276963100,,-46669,386744
035720,Kakao,KOSPI,36050,321482,476368,19143762300,2519778,96545635250,-17503,-1721285,-1950689
483650,d'Alba Global,KOSPI,233000,26315,82647,19123044500,98764,22095687500,12964,11644,-62962
001040,CJ Corp.,KOSPI,,,146050,17810483700,334476,43683774700,,-196367,-461583
240810,"WONIK IPS Co.,Ltd.",KOSDAQ,,,159108,17458481200,651678,59150458100,,-188595,-411142
009830,HANWHA SOLUTIONS,KOSPI,,,460160,16793924850,-1209762,-31195743300,,-230617,4508442
141080,LigaChem Biosciences,KOSDAQ,99700,30283,142468,14510387700,513687,42725343700,-51872,-124792,-238402
089970,VM,KOSDAQ,,,236153,14291470900,365215,14121405400,,-412417,-1070386
031210,Seoul Guarantee Insurance Company,KOSPI,,,326549,14190173500,309564,13424761750,,-353231,-338563
080220,Jeju Semiconductor Corp.,KOSDAQ,,,171548,12700039900,-282651,-46903585700,,-57058,-346861
010140,SamsungHeavyIndustries,KOSPI,,,607537,12637746600,514479,8023265550,,-1105737,-2305170
443060,"HD HYUNDAI MARINE SOLUTION CO., LTD",KOSPI,,,61226,12505210300,280787,53600387500,,-31431,-214531
009540,HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING,KOSPI,,,33595,12033346500,24604,10234279500,,-58870,-7053
014680,HansolChemical,KOSPI,,,55493,11238557000,174238,34916445100,,-65281,-224546
277810,Rainbow Robotics,KOSDAQ,,,23131,10751511500,13144,15053630500,,-45396,-55517
088980,Macquarie Korea Infrastructure Fund,KOSPI,,,1128285,10683781490,-3567297,-34837289520,,-336905,-543600
095610,"TES CO., LTD.",KOSDAQ,,,76760,10675616400,-317384,-51756269500,,-200984,-67029
003550,LG Corp.,KOSPI,,,94532,10374065600,684788,70599459000,,-41136,33613
004170,"Shinsegae Co.,Ltd",KOSPI,,,24343,9801791500,170812,71909818500,,-25350,-210258
281820,KCTECH,KOSPI,,,144112,9568053200,152150,9234986100,,-116196,-290862
005830,DB INSURANCE,KOSPI,,,54989,9489758800,-324869,-53374730700,,-37459,418323
033780,KT&G Corporation,KOSPI,,,54461,9370501900,-57615,-11654647800,,-108544,-214265
090430,AMOREPACIFIC CORPORATION,KOSPI,,,67399,9089917500,627964,84828416600,,33184,402109
034730,SK,KOSPI,,,15588,8924412000,310675,163664819000,,12451,-173149
181710,NHN,KOSPI,,,116231,8550625700,-234189,-9033108650,,95630,1014629
003670,POSCO FUTURE M,KOSPI,,,51604,8455663600,-104394,-17764154700,,-102398,-81145
005180,Binggrae,KOSPI,,,96096,8311514000,346595,28248181400,,103683,302979
023530,"LOTTE SHOPPING CO., LTD.",KOSPI,,,83248,8077047300,527956,56915487200,,-123160,-758694
005490,POSCO Holdings Inc.,KOSPI,,,23068,7591659500,188581,60181228000,,-61750,-234762
098120,"Micro Contact Solution Co.,Ltd.",KOSDAQ,,,151617,6308850900,78502,4298764610,,91999,133468
001820,SamwhaCapacitor,KOSPI,,,67222,6205799400,-483619,-47596718500,,-68881,120203
093370,"FOOSUNG CO.,LTD",KOSPI,,,514572,6194558160,-1719587,-21296967530,,-490918,536978
144960,"New Power Plasma Co.,Ltd",KOSDAQ,,,565676,5784868240,1092453,11104111310,,-653297,-812082
089030,"Techwing, Inc.",KOSDAQ,,,111963,5687811750,659652,30983275700,,-26986,139214
375500,"DL E&C CO., LTD.",KOSPI,,,81168,5680624200,450129,27611381900,,19039,410278
032820,"Woori Technology, Incorporation",KOSDAQ,,,447555,5473361250,1074430,10556217980,,104670,-188943
282330,BGF Retail,KOSPI,,,38132,5436170600,273932,38347182000,,-16743,-141973
195870,HAESUNG DS,KOSPI,,,97472,5347625100,41472,1497697650,,-135667,147477
035900,JYP Entertainment Corporation,KOSDAQ,,,130200,5186559300,-917184,-37913002800,,-170432,-887474
204320,HL Mando,KOSPI,,,93808,5031279400,708623,34916624350,,-34939,214725
357780,"Soulbrain Co., Ltd.",KOSDAQ,,,14965,4918975000,19252,5878471000,,-1371,34092
081660,Misto Holdings Corporation,KOSPI,,,116920,4850461200,58661,2090328100,,-130667,-190192
004710,HansolTechnics,KOSPI,,,676028,4819342980,881122,5643044620,,-532089,-671102
015760,KoreaElectricPower,KOSPI,,,147954,4784988750,211783,9474732250,,-834121,-5555233
317400,XI S&D,KOSPI,,,460518,4721749480,-110450,-1525291220,,-366358,2358119
295310,"HVM CO.,LTD.",KOSDAQ,,,101166,4696947350,-348156,-17778114600,,-87991,79991
064400,LG CNS,KOSPI,73000,-7233,60142,4609311000,-835220,-58949751400,16221,-5970,817140
440110,FADU INC.,KOSDAQ,,,76512,4466620800,734407,38763271500,,-112588,-117080
000810,SamsungFire&MarineInsurance,KOSPI,,,7174,4166062000,-31912,-20095454000,,17087,52957
298020,HYOSUNG TNC,KOSPI,,,13077,4160495000,59792,19574616000,,-12042,-41721
005090,SGC Energy,KOSPI,,,67294,4137259000,-301462,-15068705700,,-9874,727251
084370,"Eugene Technology Co., Ltd.",KOSDAQ,,,30610,4081506200,71641,8575706000,,-16479,1940
011780,KumhoPetrochemical,KOSPI,,,32965,3915549600,321143,40751237800,,-69006,-405483
170920,"LTC Co., LTD.",KOSDAQ,,,105356,3862829950,51312,-976027650,,-61546,-482711
290550,"DK Tech Co., Ltd.",KOSDAQ,,,223064,3828104510,501645,8189872970,,-77520,-488361
290650,L&C BIO,KOSDAQ,,,72535,3824667300,442656,23457003300,,-56586,-165746
000500,GAONCABLE,KOSPI,,,23264,3798269500,58256,7805153300,,10870,-6680
033160,MKElectron,KOSDAQ,,,252097,3652444410,-643750,-13110774250,,-317896,-1018118
011790,SKC,KOSPI,,,41902,3549900800,152097,13338731100,,-44547,-77524
388210,"CMTX Co.,Ltd.",KOSDAQ,,,48224,3545604600,40309,3116408300,,-93466,-123043
251270,Netmarble Corporation,KOSPI,,,87939,3282346650,356695,13631935900,,-37706,-163808
322000,"HD HYUNDAI ENERGY SOLUTIONS CO.,LTD.",KOSPI,,,21510,3217122100,91806,12248706300,,129083,-208006
103590,ILJIN ELECTRIC,KOSPI,,,42230,3154109900,488867,26155689200,,-71931,-766750
004020,HYUNDAI STEEL,KOSPI,,,109181,3107980500,-311055,-8807979200,,-47331,28336
330860,Nepes Ark Corporation,KOSDAQ,,,112866,3018627750,138054,2250035280,,-70877,-151934
267270,HD Construction Equipment,KOSPI,,,22424,2930444600,-50194,-9499831600,,-224547,-5858
041510,"SM ENTERTAINMENT CO., Ltd.",KOSDAQ,,,37031,2725463600,55457,3990258500,,-20933,-112458
307950,HyundaiAutoever,KOSPI,,,6089,2722271500,-58073,-26739101000,,-7710,376
007070,GS Retail,KOSPI,,,104349,2720002400,178857,4450884100,,-80157,161090
033100,"CHERYONG ELECTRIC CO.,LTD.",KOSDAQ,,,56854,2669186600,54127,1958450300,,-1179,36164
089890,"KOSES Co.,Ltd",KOSDAQ,,,104345,2520911800,244699,4933671600,,-73548,74664
069960,"HYUNDAIDEPARTMENTSTORECO.,LTD",KOSPI,,,26764,2516664500,526785,57557258600,,-61497,-935766
126640,"HWASHIN PRECISION CO., LTD.",KOSDAQ,,,407924,2499977880,96793,1327392255,,12032,12300
030000,CheilWorldwide,KOSPI,,,130710,2467924000,-89403,-1631459950,,-102199,-191936
397030,"AprilBio Co.,Ltd.",KOSDAQ,,,106542,2334082110,19119,-1203921050,,-367164,-136679
096530,Seegene Inc.,KOSDAQ,,,73612,2267017500,560444,17691042400,,-48628,-73517
112610,CS Wind Corporation,KOSPI,,,46622,2241000100,413843,21047830550,,154599,467595
036800,NICE INFORMATION&TELECOMMUNICATION INC.,KOSDAQ,,,331425,2227071820,281172,1919649190,,53009,108064
098460,Koh Young Technology Inc.,KOSDAQ,,,76105,2217206750,905526,28712354250,,-198545,133640
302440,SK BIOSCIENCE,KOSPI,,,58538,2203192150,130987,4688603800,,-39934,-24578
047040,DaewooEngineering&Construction,KOSPI,,,128402,2039372780,-2745931,-51638079030,,-220148,3063066
000370,"Hanwha General Insurance Co.,Ltd.",KOSPI,,,275872,2017131770,831918,5568802930,,636435,1100530
097230,HJ SHIPBUILDING & CONSTRUCTION,KOSPI,,,114397,1999272240,205924,3346867740,,10740,261871
074600,WONIK QnC CORPORATION,KOSDAQ,,,67423,1885919550,249857,5968834000,,-125659,-563748
347700,Sphere,KOSDAQ,,,78374,1849136700,-527525,-14811089740,,7229,1253069
272210,HANWHA SYSTEMS,KOSPI,72700,72301,24796,1841551300,826472,53874904800,-8911,-134913,91862
267250,HD HYUNDAI,KOSPI,,,8319,1741189500,-222637,-47660109000,,-32783,184780
090360,"Robostar Co.,Ltd.",KOSDAQ,,,20981,1728132000,-161561,-12451396700,,2732,29503
017900,AUK,KOSPI,,,209834,1709893210,-317718,-3570442980,,2049,-1789
006110,SamaAluminium,KOSPI,,,38033,1647434000,31690,101109900,,-61301,25249
102710,"ENF Technology Co., Ltd",KOSDAQ,,,34176,1591364000,-25500,-1281508950,,-41955,95451
950160,"Kolon TissueGene, Inc.",KOSDAQ,19760,-39842,102647,1557404780,-1113704,-37746865760,-4389,-30683,-190822
352820,HYBE,KOSPI,,,7835,1549670600,155677,24844829300,,-22837,-771364
330350,"Withus Pharmaceutical. Co., LTD",KOSDAQ,,,164346,1437139780,253140,2044998870,,15001,14433
460860,DONGKUK STEEL MILL,KOSPI,,,149207,1434473830,223401,2178486570,,-56160,9439
439960,"COSMO ROBOTICS CO., Ltd",KOSDAQ,,,94216,1344339240,-151442,-2989983600,,-28343,-1960713
484810,"TXR Robotics Co., Ltd.",KOSDAQ,,,82263,1316897750,77328,835728590,,-194880,-214940
036460,KoreaGasCorporation,KOSPI,,,36177,1315103450,519142,18614967450,,-1577,-45051
189300,INTELLIAN TECHNOLOGIES Inc.,KOSDAQ,,,20754,1304322700,-222367,-15629657200,,-20772,55489
439090,"Manyo Factory Co., Ltd.",KOSDAQ,,,68973,1206972760,349566,5805422340,,4533,173731
086280,"HYUNDAIGLOVIS Co.,LTD",KOSPI,,,5601,1089869200,144578,29483010100,,-26420,35137
087010,"Peptron, Inc.",KOSDAQ,,,5796,1082506100,-138010,-18333018800,,11343,24518
214370,"Caregen Co.,LTD.",KOSDAQ,,,19647,1055799300,150911,8030569900,,-34779,-116914
005940,NH INVESTMENT & SECURITIES,KOSPI,,,38521,1053329250,1137286,32134717600,,-387551,-1836601
126340,"VINA TECH CO.,LTD.",KOSDAQ,,,15725,1046736200,-187414,-12772544650,,-2169,119603
204270,"JNTC CO.,LTD.",KOSDAQ,,,54741,1039322010,254603,4595771140,,9767,28003
003160,DI,KOSPI,,,34507,1036353700,174265,4608590330,,-8574,265472
000640,Dong-A Socio Holdings,KOSPI,,,11403,1026296400,39041,3501724700,,-21677,-39425
052710,"Amotech Co., Ltd.",KOSDAQ,,,87958,954949410,-290326,-4210126305,,-127525,-575871
121440,GOLFZON HOLDINGS,KOSDAQ,,,118553,938705810,423593,3057245430,,-14889,116555
038500,"SAMPYO Cement Co., Ltd.",KOSDAQ,,,125433,925729690,485743,3300544140,,-2871,-10270
159010,"ASFLOW CO.,LTD.",KOSDAQ,,,39226,889206400,377465,6661441370,,-88266,-511841
001120,LX INTERNATIONAL CORP.,KOSPI,,,23009,877324950,-333796,-11580196500,,-17483,228821
002790,AMOREPACIFIC Holdings,KOSPI,,,34158,876516000,273287,7130678850,,9334,59762
187870,DEVICE,KOSDAQ,,,75472,869884940,131531,1078456290,,-95706,-403981
022100,POSCO DX,KOSPI,,,41568,869216590,266540,4831035310,,-94995,-79205
012750,S-1,KOSPI,,,11363,865176400,49295,3713841500,,-10850,-33935
100790,"Mirae Asset Venture Investment Co., Ltd",KOSDAQ,,,51931,846239430,-1914032,-33783027810,,-6449,144193
036810,FINE SEMITECH Corp.,KOSDAQ,,,35963,841808800,9590,-599881940,,-70685,-262881
042520,HANS BIOMED CORPORATION,KOSDAQ,,,44021,828784640,182969,3294642230,,-262800,-358854
279570,Kbank,KOSPI,5580,67379,139370,782636630,691567,3965342520,-25287,-99817,-839509
175330,"JB Financial Group Co., Ltd.",KOSPI,,,28551,754961200,236691,6802286150,,-72001,-49042
072950,"VISSEM Electronics Co., Ltd.",KOSDAQ,,,84414,736204080,-337837,-3132399190,,-1499,-7003
079940,"GABIA, Inc.",KOSDAQ,,,16220,732535700,96622,4282112150,,-5959,-32950
058610,"SPG CO., LTD",KOSDAQ,,,7542,724419700,-526115,-47460485100,,-268761,333997
009450,KYUNGDONGNAVIEN,KOSPI,,,11008,715150000,-190424,-12388480100,,-17599,130194
006040,DongwonIndustries,KOSPI,,,18928,706806400,133467,4896073700,,11488,-244
006910,"BOSUNG POWER TECHNOLOGY CO., LTD.",KOSDAQ,,,104553,695874760,-893160,-8954143440,,175,15904
213420,"DUK SAN NEOLUX CO.,LTD",KOSDAQ,,,21534,694280100,-316094,-10239501050,,-42879,282730
078930,GS Holdings,KOSPI,,,10832,686976800,-1423077,-152010399000,,101297,1657370
413630,CP SYSTEM,KOSDAQ,,,199108,672417255,397416,1401765990,,0,-7848
419530,"SAMG ENTERTAINMENT CO.,LTD",KOSDAQ,,,31637,672312600,54269,1317074350,,-46402,-251022
088350,HANWHA LIFE INSURANCE,KOSPI,,,118237,657482210,8376694,43969542345,,670750,544834
076610,"Haesung Optics Co.,Ltd",KOSDAQ,,,396740,625997331,-335155,-212477462,,0,47711
070300,Xcure Corp.,KOSDAQ,,,309605,616761980,310837,611562701,,0,9525
044490,"TAEWOONG CO., LTD.",KOSDAQ,,,19486,604627400,-280225,-8968397950,,-26307,60919
228850,"RAYENCE CO., LTD.",KOSDAQ,,,82837,601958260,78384,574324470,,12950,-45790
166090,Hana Materials Inc.,KOSDAQ,,,10154,591313600,-326223,-19179714700,,21434,122508
078350,"HANYANG DIGITECH CO.,LTD.",KOSDAQ,,,25454,577982200,-74158,-2420848430,,20580,26933
107640,"HanJungNCS.Co.,Ltd",KOSDAQ,,,13169,574370750,8512,-232149450,,-64849,-202729
043150,"Value Added Technology Co., Ltd.",KOSDAQ,,,29811,569404550,60906,1057338990,,-42756,10063
264850,"Elensys Co.,Ltd.",KOSDAQ,,,88056,557241520,-182258,-967213100,,495,494
236200,Suprema Inc.,KOSDAQ,,,9562,556902400,143102,8101697600,,-6464,-26622
322510,"JLK, Inc.",KOSDAQ,,,115777,556738535,184701,911762850,,8869,23318
025320,Synopex Inc.,KOSDAQ,,,135792,555556125,-531321,-2580164585,,-6253,21937
461300,"i-Scream Media CO., LTD.",KOSDAQ,,,30669,553212640,129562,2305243800,,2269,-10878
004000,LOTTE Fine Chemical,KOSPI,,,12465,547901550,91880,4292031750,,-44314,-120330
403870,"HPSP Co., Ltd.",KOSDAQ,,,191,541342100,509834,23361318950,,1136706,1174368
083450,"Global Standard Technology Co., Ltd.",KOSDAQ,,,11450,539207350,65096,3309729900,,-47419,-113089
203650,"Dream Security Co.,Ltd.",KOSDAQ,,,248883,515839028,131574,354298851,,-5000,165000
017960,HankukCarbon,KOSPI,,,23184,513670400,-30511,-1740160170,,-6643,-152189
217590,TMC,KOSPI,,,39388,503377070,10033,-506647150,,-250,34462
457190,ISU SPECIALTY CHEMICAL,KOSPI,,,7731,501380200,-14527,-1477388350,,-20893,1125
123890,KAIT,KOSPI,,,203252,499057370,957548,2261553405,,180608,-63766
247540,"ECOPRO BM CO., LTD.",KOSDAQ,,,1994,496784100,-271684,-27654636300,,-42473,-75987
032500,KMW CO. LTD,KOSDAQ,,,31713,496566050,-205983,-3221767380,,-78209,-149974
031330,"SAMT CO.,LTD.",KOSDAQ,,,57711,465146150,-1333393,-14929204880,,-58792,-31369
108380,"DAYANG ELECTRIC CO.,LTD",KOSDAQ,,,25655,463901230,91610,1561349730,,-30431,-35857
090710,"Hyulim ROBOT Co.,Ltd.",KOSDAQ,,,68017,462153070,1116798,8671390560,,3006,-1138
356680,"AXGATE Co., Ltd.",KOSDAQ,,,39233,457599300,-89983,-784976150,,100,2871
001210,KumhoElectric,KOSPI,,,37543,455314620,-48326,-180327540,,10947,12735
014830,UNID,KOSPI,,,7237,446278200,14545,901347500,,-11937,-35379
071200,INFINITT Healthcare,KOSDAQ,,,47739,440479520,388597,3702810150,,-45000,-111226
011760,HYUNDAI CORPORATION,KOSPI,,,16321,435481250,100938,2717634000,,-15934,12159
094170,"DONGWOON ANATECH CO.,LTD.",KOSDAQ,,,13630,435034000,-113177,-4059478350,,664,-4757
011930,SHINSUNG E&G,KOSPI,,,26907,433549270,204332,3255748180,,1249,2996
092730,"Neopharm CO., LTD.",KOSDAQ,,,18542,427874300,210223,5087644660,,-3054,96221
099320,"Satrec Initiative Co., Ltd.",KOSDAQ,,,5842,417310500,80549,4997654100,,-2718,22808
321370,"SENSORVIEW CO., LTD.",KOSDAQ,,,227995,415320218,-602090,-745764654,,13472,-131211
008770,HotelShilla,KOSPI,,,9589,409058900,691728,29010467100,,-161149,-1605305
085910,"NEO TECHNICAL SYSTEM CO., LTD",KOSDAQ,,,21576,400108690,-149427,-2732897540,,-8256,-55309
230240,"HFR, Inc.",KOSDAQ,,,27906,397822800,-21902,-956555050,,-15338,-36261
153890,"Justek, Inc.",KOSDAQ,,,25859,385781890,-54388,-611655900,,67050,-33643
160980,CYMECHS Inc.,KOSDAQ,,,16043,378528200,158496,4076646500,,-18346,-168325
419050,SAMKEE ENERGY SOLUTIONS,KOSDAQ,,,232855,375459428,-223019,-462610973,,0,17833
079370,"ZEUS CO., LTD.",KOSDAQ,,,43135,366752560,264018,2197054060,,74964,-57390
005430,KoreaAirportService,KOSPI,,,4529,363383300,34135,2806443200,,257,-1418
003030,SeAH Steel Holdings Corporation,KOSPI,,,3743,362406300,4782,558730200,,-11636,-43813
357880,SKAI worldwide,KOSDAQ,,,196982,357347033,297536,549047325,,539,-39608
