# K-Export Stars Korean sector performance · as of 2026-09-18 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,827.12,0.6,0.79,-1.64,-12.53,
KOSPI,KOSPI,코스피,6894.23,2.66,-0.23,0.61,59.97,
KOSDAQ,Metals,금속,1899.48,0.63,1.15,11.36,1.44,13.0
KOSDAQ,Telecom,통신,1116.83,1.01,-1.59,8.95,-1.94,10.59
KOSPI,General Services,일반서비스,1429.46,-0.88,-1.38,8.25,8.98,7.64
KOSPI,Machinery & Equipment,기계·장비,3171.41,0.44,-3.4,7.89,15.03,7.28
KOSPI,Medical & Precision Instruments,의료·정밀기기,1689.6,0.82,3.28,7.85,13.96,7.24
KOSDAQ,Non-metallic Minerals,비금속,69782.49,-0.22,1.61,7.84,39.81,9.48
KOSPI,Construction,건설,171.67,0.78,-4.86,7.4,77.82,6.79
KOSDAQ,Electronics & Semiconductors,전기전자,1677.33,2.59,4.05,5.19,13.78,6.83
KOSDAQ,Publishing & Media,출판·매체복제,1291.35,0.12,0.69,4.62,-40.78,6.26
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4318.45,1.34,5.25,4.49,-18.84,6.13
KOSPI,Textiles & Apparel,섬유·의류,225.1,0.37,2.55,4.47,-5.36,3.86
KOSDAQ,Machinery & Equipment,기계·장비,822.29,1.05,1.71,4.34,25.09,5.98
KOSDAQ,Construction,건설,77.32,2.83,1.09,2.94,-4.74,4.58
KOSPI,Transport & Warehousing,운송·창고,2015.55,-0.6,-1.04,2.84,8.42,2.23
KOSPI,Non-metallic Minerals,비금속,3556.47,1.16,-0.72,2.51,-12.54,1.9
KOSPI,Electronics & Semiconductors,전기전자,113107.3,4.46,1.46,2.49,116.7,1.88
KOSDAQ,Transport & Warehousing,운송·창고,3187.63,-0.14,-0.8,2.31,19.29,3.95
KOSDAQ,Media & Entertainment,오락·문화,284.56,-0.82,-1.02,1.51,-45.11,3.15
KOSDAQ,IT Services,IT 서비스,664.06,0.45,1.38,1.08,-28.1,2.72
KOSDAQ,Retail & Distribution,유통,491.48,0.22,-1.3,1.06,-0.0,2.7
KOSPI,Chemicals,화학,4692.01,-0.18,-1.79,0.9,15.76,0.29
KOSPI,Paper & Timber,종이·목재,216.17,-0.52,-1.87,0.26,-20.27,-0.35
KOSPI,Financials,금융,1105.49,0.26,-3.45,0.24,41.34,-0.37
KOSDAQ,Other Manufacturing,기타제조,535.39,-0.13,0.94,0.12,-19.14,1.76
KOSDAQ,Chemicals,화학,2100.4,0.73,2.77,-0.06,-15.21,1.58
KOSDAQ,Paper & Timber,종이·목재,6333.34,-0.67,-1.31,-0.7,-17.74,0.94
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,3999.37,0.33,-0.48,-1.1,-19.33,0.54
KOSPI,Insurance,보험,46834.9,-0.89,-5.99,-1.34,54.81,-1.95
KOSPI,Real Estate,부동산,892.02,-0.47,-1.55,-1.54,-10.78,-2.15
KOSPI,Metals,금속,6829.21,0.96,-0.1,-1.88,5.61,-2.49
KOSPI,Media & Entertainment,오락·문화,818.81,-0.58,-3.73,-2.59,-43.56,-3.2
KOSPI,Retail & Distribution,유통,602.88,-1.02,-3.15,-2.94,25.99,-3.55
KOSPI,Utilities (Electricity & Gas),전기·가스,986.9,-1.02,-6.49,-3.2,-28.13,-3.81
KOSDAQ,Financials,금융,1390.17,-0.56,-1.79,-3.58,-6.4,-1.94
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4696.39,-0.74,-1.77,-3.77,4.18,-4.38
KOSDAQ,Textiles & Apparel,섬유·의류,27.56,0.88,-0.65,-3.94,-33.32,-2.3
KOSPI,Telecom,통신,604.02,-0.08,-1.67,-3.97,25.65,-4.58
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1733.33,-0.08,-1.99,-4.77,-28.64,-3.13
KOSPI,Securities,증권,4864.9,-0.38,-4.26,-7.99,13.14,-8.6
KOSPI,Pharmaceuticals,제약,15144.72,-0.46,-0.7,-8.18,-14.56,-8.79
KOSPI,IT Services,IT 서비스,1131.59,0.47,-2.91,-9.51,-13.45,-10.12
KOSPI,Transport Equipment & Parts,운송장비·부품,4679.42,-0.65,-3.56,-9.61,-1.72,-10.22
KOSDAQ,General Services,일반서비스,3990.09,-0.37,-2.09,-14.08,-35.63,-12.44
KOSDAQ,Pharmaceuticals,제약,8253.3,-2.05,-2.79,-14.3,-37.89,-12.66
