# K-Export Stars Foreign Flow aggregates · as of 2026-09-03 · CC BY 4.0 · kexportstars.com/foreign-flow-watch/
ticker,name_en,market,last_close,f_1d_sh,f_5d_sh,f_5d_val,f_20d_sh,f_20d_val,i_1d_sh,i_5d_sh,i_20d_sh
316140,WooriFinancialGroup,KOSPI,34650,13051580,13609266,471628374000,12837796,449398307000,1006253,1648304,3673954
096770,SK Innovation,KOSPI,130800,51920,748543,93442965900,1137088,150344486200,85505,914626,874856
003490,KoreanAirLines,KOSPI,29150,249790,2047426,58785076300,3904808,116337648400,629516,1592259,3867041
240810,"WONIK IPS Co.,Ltd.",KOSDAQ,105000,96020,505770,55337621900,1326846,145963101300,-144079,-527089,-1019405
353200,DaeduckElectronics,KOSPI,101600,43320,487627,53478267900,738916,81818380400,-247936,-762983,-1345099
071050,KOREA INVESTMENT HOLDINGS,KOSPI,186600,111607,275875,51891055200,829396,158151981300,-117965,-294136,-809051
034730,SK,KOSPI,545000,13025,85028,47632725000,268637,147768730000,-9012,-61821,-168611
128940,HanmiPharm,KOSPI,460500,39986,91634,42964779000,-194643,-101730046500,-36896,-49711,225874
095610,"TES CO., LTD.",KOSDAQ,133900,52329,302283,41905135900,426435,58603481900,-28542,-364734,-580183
010060,OCI Holdings Company Ltd.,KOSPI,227500,114690,172998,41346630000,107115,25369601500,-109158,-290541,-43311
003230,SamyangFoods,KOSPI,1424000,12989,27409,39973262000,123649,162677697000,-3910,3378,-7281
078930,GS Holdings,KOSPI,118900,160377,315361,37512140200,-1026829,-112740190600,-70248,-104831,1363959
039490,KIWOOM Securities,KOSPI,268500,24436,130103,35884199000,435020,120114063500,-38035,-129081,-323193
000270,KIA CORPORATION,KOSPI,127400,198357,258411,33901863200,949968,130357408900,-28443,-4938,-1222502
214450,PharmaResearch,KOSDAQ,381000,35515,78208,33064158500,395930,166098216000,-10597,-45482,-111959
006800,MIRAE ASSET SECURITIES,KOSPI,33200,579487,967317,32608411350,2181388,75098044850,-318816,-1108195,-2118532
319660,PSK INC.,KOSDAQ,122400,79260,259628,32369735100,699200,87139563600,-55776,-220145,-642568
257720,"SILICON 2 Co.,Ltd.",KOSDAQ,48500,273331,620227,30794885300,3567824,182435980850,-228557,-178581,-2096224
005380,HyundaiMotor,KOSPI,383500,77716,61090,26712542000,-459671,-184614750500,2807,-429426,-1280128
307950,HyundaiAutoever,KOSPI,384500,9156,65760,26536728000,-38485,-20070430500,-1227,-52985,-154626
131290,"TSE CO.,Ltd",KOSDAQ,224000,29538,108890,25080332000,52472,12967924000,-28428,-144412,-41296
016360,SamsungSecurities,KOSPI,86600,126370,280271,24510692600,259328,19627215000,-50540,-220927,-995595
373220,LG Energy Solution,KOSPI,365500,10802,62939,22005923500,-93692,-34483433500,77241,145004,804805
402340,SKSQUARE,KOSPI,981000,21025,16027,21676871000,136539,150468343000,-14552,-286475,-623715
483650,d'Alba Global,KOSPI,190500,17952,102336,21594677000,122298,25240226000,-40495,-180611,-378224
010140,SamsungHeavyIndustries,KOSPI,21650,1205924,946449,21436739520,1051099,22784341820,1486884,550035,-1416316
036930,"JUSUNG ENGINEERING Co.,Ltd.",KOSDAQ,168000,-61214,121008,21310012000,423593,77051174400,-47698,-243973,-338321
084370,"Eugene Technology Co., Ltd.",KOSDAQ,130800,35449,143197,18987551800,292034,39106884000,-33944,-134552,-239675
000880,Hanwha,KOSPI,133700,15116,137357,18220950100,300494,39014240800,49849,-6132,-5666
347850,D&D Pharmatech Inc.,KOSDAQ,48500,95173,306510,15129367650,702972,39893745950,-89658,-447941,-1054722
089970,VM,KOSDAQ,51900,138931,271688,14692056000,1150801,67133761600,-181049,-370608,-1885560
000990,"DB HiTek Co.,LTD",KOSPI,88100,45120,163744,14669961300,598824,53785583300,-36580,-229573,-764413
012330,HyundaiMobis,KOSPI,423500,67611,36718,14595378000,137170,70326178500,-12628,-235082,-798646
241710,"COSMECCA KOREA CO.,LTD.",KOSDAQ,134200,49039,96799,13147272400,382420,48421040400,-37606,-89220,-167328
009420,"HANALL BIOPHARMA CO.,LTD",KOSPI,53900,91679,238128,13141367000,207086,10852724100,-106718,-380352,136726
005940,NH INVESTMENT & SECURITIES,KOSPI,26300,98809,491945,13000095700,1016061,27690536850,-109324,-597842,-1665530
035420,NAVER,KOSPI,207500,-26424,61132,12875695500,-237349,-49588881000,-119580,-262526,213394
141080,LigaChem Biosciences,KOSDAQ,88300,34165,137987,12682317000,472628,47056144400,-57731,-233210,-772739
006360,GS Engineering & Construction Corp,KOSPI,33600,115174,407462,12613698900,1209154,40049682750,129214,-391203,4163780
489790,Hanwha Vision,KOSPI,48700,-1332,246511,12318219000,259809,12219531800,22647,-222903,108298
267270,HD Construction Equipment,KOSPI,135300,59485,89638,11727145500,-101152,-15451567000,6334,-8093,211337
031980,PSK HOLDINGS INC.,KOSDAQ,129500,-4885,94918,11691035800,-42068,-4789706100,73659,11466,113802
222800,"SIMMTECH Co., Ltd.",KOSDAQ,117500,123878,101938,11387134700,940320,103834316300,-214488,-583000,-1426602
403870,"HPSP Co., Ltd.",KOSDAQ,50200,79792,213772,10887656700,1450827,68599884950,-32020,343493,2365993
347700,Sphere,KOSDAQ,18580,186181,540777,10880487950,-36112,-2399198800,-174464,-446251,199852
009830,HANWHA SOLUTIONS,KOSPI,29900,232384,306901,10286605800,444072,18208738150,-114131,-944854,1295974
080220,Jeju Semiconductor Corp.,KOSDAQ,68800,69299,141404,10149116000,-451561,-42232878800,-88988,-315467,-782640
090430,AMOREPACIFIC CORPORATION,KOSPI,142500,50728,67609,10126677500,441652,60064805900,-7458,285963,636858
042660,Hanwha Ocean,KOSPI,86500,263028,108046,10125878000,1781234,161115735400,181406,25078,-1570725
098460,Koh Young Technology Inc.,KOSDAQ,27550,66643,349060,9805564300,1061392,31915269100,-68765,-362711,-724426
357780,"Soulbrain Co., Ltd.",KOSDAQ,319500,5479,29228,9721961000,52466,17743349000,-6712,-27077,-4251
010130,KoreaZinc,KOSPI,1224000,648,7653,9589189000,-105031,-131769608000,1271,-32706,127460
161390,HANKOOK TIRE & TECHNOLOGY,KOSPI,66500,53209,138682,9229246700,157719,11221921500,-42934,-125863,-355799
033780,KT&G Corporation,KOSPI,174700,8481,51872,9118484500,12310,1581719600,9535,-20292,-177850
089030,"Techwing, Inc.",KOSDAQ,46150,-18759,171810,8430262250,673861,33663876800,-35428,-154790,-350462
018260,"SAMSUNG SDS CO., LTD.",KOSPI,226000,48630,37627,8350805000,295547,68095502500,-35477,65036,113404
204620,"Global Tax Free Co., Ltd.",KOSDAQ,5370,-100040,1276517,7634488880,3261888,18117259165,285,-250735,-1538693
073240,"KUMHOTIRECO.,INC",KOSPI,7120,361203,1032114,7557275980,5207475,40865114680,-37499,-315660,-2060050
005090,SGC Energy,KOSPI,53400,-23375,139485,7428089800,76419,4450835250,4588,-80842,388992
082920,"VITZROCELL Co., Ltd.",KOSDAQ,28250,-172410,279249,7216418600,-584180,-21155251800,59668,-465486,-367936
008930,Hanmi Science,KOSPI,51500,11587,153985,7065199200,-83251,-8394948900,86096,343963,974619
241560,Doosan Bobcat,KOSPI,62800,43183,112420,7021362200,132966,8936924800,4900,-39800,-109505
024110,INDUSTRIALBANKOFKOREA,KOSPI,21150,171670,331289,6982056050,416889,9298072550,77852,501870,-87726
226950,"Olix Pharmaceuticals, Inc.",KOSDAQ,91800,63388,74909,6888109600,-13928,-5617946500,-157070,-282470,-730463
006260,LS,KOSPI,292000,5294,21985,6559225000,-79639,-28555892000,-11768,-1038,-184045
039030,"EO Technics Co., Ltd.",KOSDAQ,418000,-31574,17431,6444757000,-209872,-81867197000,40952,6128,211914
087010,"Peptron, Inc.",KOSDAQ,146600,32311,45640,6268154200,116350,19408554500,-16166,-149748,-192507
352820,HYBE,KOSPI,176000,16664,35565,6231075500,36074,7304765600,-9357,-46990,-255360
064400,LG CNS,KOSPI,72500,-37016,79073,6149777400,-625622,-45344642800,-10127,4421,403282
140860,Park Systems Corp.,KOSDAQ,254000,3678,23251,6120431000,67772,18649657500,-3188,-31893,-43413
271560,ORION,KOSPI,129300,22391,47254,6090741100,103614,14432028100,-12002,-17418,-130940
166090,Hana Materials Inc.,KOSDAQ,49550,17241,119030,6055110350,47242,502211850,-30086,-189367,-295015
036460,KoreaGasCorporation,KOSPI,37700,60655,157696,5909839950,681843,24918068200,56133,76860,84181
282330,BGF Retail,KOSPI,150600,9164,39614,5904327400,247499,36616165000,-9782,-3326,-39790
443060,"HD HYUNDAI MARINE SOLUTION CO., LTD",KOSPI,205500,14873,26794,5640421000,139467,28596316800,-5816,-24840,-28413
475830,"Orum Therapeutics, Inc.",KOSDAQ,54500,38888,101680,5624128800,-73803,-6762295400,-22934,-177885,53980
124500,ITCENGLOBAL,KOSDAQ,32700,52336,161856,5225968700,-882408,-29021219200,-134953,-272058,462314
277810,Rainbow Robotics,KOSDAQ,436500,17990,12584,5195040000,90051,42571403000,-3459,-25327,-133097
330860,Nepes Ark Corporation,KOSDAQ,23650,-20177,206350,5049121750,378666,9197327950,-2934,-43457,-213121
005290,"DONGJIN SEMICHEM CO., LTD.",KOSDAQ,39750,923,119316,4945746150,-347265,-15270105750,-38590,-108201,-661634
