# K-Export Stars Korean sector performance · as of 2026-09-16 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSPI,KOSPI,코스피,6717.97,1.37,-4.73,-2.21,55.88,
KOSDAQ,KOSDAQ,코스닥,815.98,0.44,-1.73,-2.18,-13.7,
KOSDAQ,Telecom,통신,1105.8,-4.09,-3.91,12.7,-2.91,14.88
KOSPI,General Services,일반서비스,1428.13,-0.07,1.27,7.53,8.88,9.74
KOSPI,Construction,건설,170.34,-2.37,-3.55,7.36,76.44,9.57
KOSDAQ,Non-metallic Minerals,비금속,69764.96,2.76,0.92,7.11,39.77,9.29
KOSDAQ,Media & Entertainment,오락·문화,293.7,-0.52,4.68,7.0,-43.35,9.18
KOSDAQ,Metals,금속,1843.25,-0.46,-1.59,6.35,-1.56,8.53
KOSDAQ,Transport & Warehousing,운송·창고,3190.82,-0.2,0.03,3.71,19.41,5.89
KOSPI,Medical & Precision Instruments,의료·정밀기기,1659.83,1.75,1.48,2.94,11.95,5.15
KOSDAQ,Machinery & Equipment,기계·장비,810.63,2.24,-1.4,2.51,23.31,4.69
KOSPI,Machinery & Equipment,기계·장비,3096.57,-1.33,-7.85,2.12,12.32,4.33
KOSDAQ,Electronics & Semiconductors,전기전자,1614.21,1.58,-0.94,1.49,9.49,3.67
KOSDAQ,Retail & Distribution,유통,493.21,0.78,-1.02,1.42,0.35,3.6
KOSDAQ,Construction,건설,75.18,-0.6,-1.66,1.4,-7.38,3.58
KOSPI,Non-metallic Minerals,비금속,3502.5,-0.81,-1.61,1.1,-13.87,3.31
KOSDAQ,IT Services,IT 서비스,653.18,-1.74,1.18,0.83,-29.28,3.01
KOSPI,Paper & Timber,종이·목재,218.2,-0.05,-0.98,0.66,-19.52,2.87
KOSPI,Textiles & Apparel,섬유·의류,222.14,-0.29,2.11,0.02,-6.61,2.23
KOSDAQ,Other Manufacturing,기타제조,534.69,-0.07,1.02,-0.13,-19.25,2.05
KOSPI,Media & Entertainment,오락·문화,836.06,-1.67,-1.68,-0.46,-42.37,1.75
KOSPI,Electronics & Semiconductors,전기전자,108899.1,2.81,-5.18,-0.52,108.64,1.69
KOSDAQ,Chemicals,화학,2079.32,1.7,-0.19,-0.78,-16.06,1.4
KOSDAQ,Paper & Timber,종이·목재,6332.89,0.26,-0.79,-1.01,-17.75,1.17
KOSPI,Chemicals,화학,4666.6,-1.08,-5.29,-1.42,15.13,0.79
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4174.09,-0.86,4.22,-2.34,-21.55,-0.16
KOSPI,Transport & Warehousing,운송·창고,1992.3,-1.19,-2.03,-2.35,7.17,-0.14
KOSDAQ,Publishing & Media,출판·매체복제,1245.17,-2.4,-1.63,-2.38,-42.9,-0.2
KOSPI,Real Estate,부동산,894.43,-0.66,0.48,-2.39,-10.54,-0.18
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,3978.81,0.26,-0.63,-2.8,-19.74,-0.62
KOSPI,Financials,금융,1100.97,-0.31,-3.94,-3.0,40.76,-0.79
KOSDAQ,Textiles & Apparel,섬유·의류,27.33,0.22,-1.73,-3.02,-33.87,-0.84
KOSPI,Insurance,보험,47115.92,-0.6,-2.37,-3.02,55.74,-0.81
KOSPI,Retail & Distribution,유통,604.23,1.01,-4.22,-3.19,26.28,-0.98
KOSDAQ,Financials,금융,1382.71,-2.08,-4.29,-3.41,-6.91,-1.23
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4687.8,-0.85,-0.91,-3.55,3.99,-1.34
KOSPI,Metals,금속,6703.02,-0.97,-3.32,-3.99,3.66,-1.78
KOSPI,Utilities (Electricity & Gas),전기·가스,991.96,-1.6,-6.93,-4.57,-27.76,-2.36
KOSPI,Pharmaceuticals,제약,15170.93,-0.36,-3.03,-6.45,-14.41,-4.24
KOSPI,Telecom,통신,603.6,-0.31,-2.2,-7.17,25.56,-4.96
KOSPI,Securities,증권,4893.65,-1.28,-5.12,-7.77,13.81,-5.56
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1718.12,-0.62,-4.57,-8.36,-29.26,-6.18
KOSPI,IT Services,IT 서비스,1129.75,-2.16,-3.78,-9.07,-13.59,-6.86
KOSDAQ,General Services,일반서비스,3980.01,-0.5,-4.7,-9.57,-35.8,-7.39
KOSDAQ,Pharmaceuticals,제약,8349.43,-1.24,-3.55,-12.31,-37.17,-10.13
KOSPI,Transport Equipment & Parts,운송장비·부품,4599.73,-1.66,-4.95,-13.43,-3.4,-11.22
